#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="BICEPS.t:STEC_Clade2" linkedMean="true" ploidy="1.0" spec="biceps.BICEPS">
#            <parameter id="RealParameter.2" lower="0.0" name="populationShape" spec="beast.base.inference.parameter.RealParameter" upper="0.0">3.0</parameter>
#            <parameter id="BICEPSPopSize.t:STEC_Clade2" lower="0.0" name="populationMean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <groupSizes dimension="7" estimate="false" id="BICEPSGroupSizes.t:STEC_Clade2" spec="beast.base.inference.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BICEPSTreeIntervals.t:STEC_Clade2" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:STEC_Clade2" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:STEC_Clade2" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="13ER-4703|WY12a|SI|bovine|31/07/2013=31/07/2013,13ER-5169|WY12a|NI|bovine|28/08/2013=28/08/2013,14ER-2496|WY12a|NI|bovine|12/08/2014=12/08/2014,14ER-3009|WY12a|SI|bovine|18/09/2014=18/09/2014,36ST-1|WY12a|NI|bovine|23/08/2008=23/08/2008,ERL-04-3328|WY12a|NI|human|20/10/2004=20/10/2004,ERL-05-1243|WY12a|NI|human|24/03/2005=24/03/2005,ERL-06-677|WY12a|NI|human|17/02/2006=17/02/2006,ERL-07-3071|WY12a|SI|human|25/09/2007=25/09/2007,ERL-08-2124|WY12a|SI|human|12/06/2008=12/06/2008,ERL_051037|Y1|SI|human|24/03/2005=24/03/2005,ERL_07467|WY12a|NI|human|15/02/2007=15/02/2007,ERL_084313|Y2c|SI|human|28/11/2008=28/11/2008,ERL04-1335|WY12a||human|26/04/2004=26/04/2004,ERL04-2149|WY12a|NI|bovine|23/07/2004=23/07/2004,ERL04-3193|WY12a|SI|bovine|8/10/2004=8/10/2004,ERL04-3264|WY12a|SI|bovine|15/10/2004=15/10/2004,ERL05-2493|WY12a|NI|bovine|29/07/2005=29/07/2005,ERL05-623|WY12a|SI|bovine|8/12/2005=8/12/2005,ERL06-3117|WY12a|SI|bovine|21/08/2006=21/08/2006,ERL06-3513|WY12a|NI|bovine|11/09/2006=11/09/2006,ERL07-2638|WY12a|NI|bovine|26/08/2007=26/08/2007,ERL08-2000|SY2c|NI|human|30/05/2008=30/05/2008,ERL08949|WY12a|NI|human|5/03/2008=5/03/2008,ERL09-3051|WY12a|NI|human|23/09/2009=23/09/2009,ERL09-3411|WY1|SI|bovine|14/10/2009=14/10/2009,ERL093134|WY12a|SI|human|30/09/2009=30/09/2009,ERL10-2267|WY12a|SI|bovine|23/07/2010=23/07/2010,ERL101381|WY12a|SI|human|5/05/2010=5/05/2010,ERL101788|WY12a|NI|human|9/06/2010=9/06/2010,ERL11-2437|WY12a|NI|bovine|23/07/2011=23/07/2011,ERL11-2652|WY12a|SI|bovine|22/08/2011=22/08/2011,ERL11-411|AWY12a|NI|human|8/02/2011=8/02/2011,ERL111878|WY12a|NI|human|8/06/2011=8/06/2011,ERL112838|WY12a|SI|human|30/08/2011=30/08/2011,ERL12-857|Y1|NI|human|14/03/2012=14/03/2012,ERL121115|WY12a|NI|human|3/04/2012=3/04/2012,ERL121207|WY12a|SI|human|12/04/2012=12/04/2012,H12ESR-1893|WY1|SI|bovine|23/08/2012=23/08/2012,H12ESR-3001|WY12a|NI|bovine|17/09/2012=17/09/2012,H13ER-3948|WY12a|NI|human|6/06/2013=6/06/2013,H13ESR-1331|WY12a|SI|human|2/03/2013=2/03/2013,H14ER-1075|WY12a|SI|human|13/03/2014=13/03/2014,H14ER-1245|WY12a|NI|human|14/04/2014=14/04/2014,H174a|WY12a|NI|bovine|21/08/2009=21/08/2009,h25a|WY12a|NI|bovine|18/01/2010=18/01/2010">
#                        <taxa id="TaxonSet.STEC_Clade2" spec="beast.base.evolution.alignment.TaxonSet">
#                            <alignment filter="-" id="STEC_Clade2" spec="beast.base.evolution.alignment.FilteredAlignment">
#                                <constantSiteWeights dimension="4" id="IntegerParameter" lower="0" spec="beast.base.inference.parameter.IntegerParameter" upper="0">1334081 1350187 1350187 1334081</constantSiteWeights>
#                            </alignment>
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.STEC_Clade2"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="BICEPSPopSizePrior.t:STEC_Clade2" name="distribution" x="@BICEPSPopSize.t:STEC_Clade2">
#            <LogNormal id="LogNormalDistributionModel.0" meanInRealSpace="true" name="distr">
#                <M id="Function$Constant.3" spec="beast.base.core.Function$Constant" value="1.0"/>
#                <S id="Function$Constant.4" spec="beast.base.core.Function$Constant" value="1.0"/>
#            </LogNormal>
#        </prior>
#        <distribution id="BMT_PropInvariablePrior.s:STEC_Clade2" spec="bmodeltest.math.distributions.BMTPrior">
#            <count id="hasInvariableSites.s:STEC_Clade2" spec="beast.base.inference.parameter.IntegerParameter">1</count>
#            <parameter id="BMT_ProportionInvariable.s:STEC_Clade2" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.1</parameter>
#            <Beta id="Beta.0" name="distr">
#                <alpha id="Function$Constant.0" spec="beast.base.core.Function$Constant" value="1.0"/>
#                <beta id="Function$Constant.1" spec="beast.base.core.Function$Constant" value="4.0"/>
#            </Beta>
#        </distribution>
#        <distribution id="BMT_RatesPrior.s:STEC_Clade2" spec="bmodeltest.math.distributions.NucleotideRevJumpSubstModelRatePrior">
#            <modelIndicator id="BMT_ModelIndicator.s:STEC_Clade2" lower="0" spec="beast.base.inference.parameter.IntegerParameter" upper="5">5</modelIndicator>
#            <substModel id="RevJump.s:STEC_Clade2" modelIndicator="@BMT_ModelIndicator.s:STEC_Clade2" spec="bmodeltest.evolution.substitutionmodel.NucleotideRevJumpSubstModel">
#                <parameter dimension="6" id="BMT_Rates.s:STEC_Clade2" lower="0.01" name="rates" spec="beast.base.inference.parameter.RealParameter" upper="100.0">1.0</parameter>
#                <frequencies data="@STEC_Clade2" id="BMTfreqs.s:STEC_Clade2" spec="bmodeltest.evolution.substitutionmodel.ModelFrequencies">
#                    <hasEqualFreqs id="hasEqualFreqs.s:STEC_Clade2" spec="beast.base.inference.parameter.BooleanParameter">false</hasEqualFreqs>
#                </frequencies>
#            </substModel>
#            <parameter idref="BMT_Rates.s:STEC_Clade2" name="x"/>
#            <Exponential id="BMT_RatesPrior.s:STEC_Clade2x" name="distr"/>
#        </distribution>
#        <distribution id="BMT_GammaShapePrior.s:STEC_Clade2" spec="bmodeltest.math.distributions.BMTPrior">
#            <count id="hasGammaRates.s:STEC_Clade2" spec="beast.base.inference.parameter.IntegerParameter">1</count>
#            <parameter id="BMT_gammaShape.s:STEC_Clade2" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="mean" spec="beast.base.inference.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </Exponential>
#        </distribution>
#        <prior id="ClockPrior.c:STEC_Clade2" name="distribution">
#            <parameter id="clockRate.c:STEC_Clade2" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@STEC_Clade2" id="treeLikelihood.STEC_Clade2" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:STEC_Clade2">
#            <siteModel gammaCategoryCount="4" hasGammaRates="@hasGammaRates.s:STEC_Clade2" hasInvariantSites="@hasInvariableSites.s:STEC_Clade2" id="BEASTModelTest.s:STEC_Clade2" proportionInvariant="@BMT_ProportionInvariable.s:STEC_Clade2" shape="@BMT_gammaShape.s:STEC_Clade2" spec="bmodeltest.evolution.sitemodel.BEASTModelTestSiteModel" substModel="@RevJump.s:STEC_Clade2">
#                <parameter estimate="false" id="BMT_mutationRate.s:STEC_Clade2" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:STEC_Clade2" id="StrictClock.c:STEC_Clade2" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#    <distribution data="@STEC_Clade2" id="ConsensusWeights" spec="targetedbeast.edgeweights.ConsensusWeights" tree="@Tree.t:STEC_Clade2"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.STEC_Clade2	Tree.height	Tree.treeLength	clockRate	rateAC	rateAG	rateAT	rateCG	rateCT	rateGT	substmodel	BMT_ModelIndicator	BMT_gammaShape	BMT_ProportionInvariable	hasGammaRates	hasInvariableSites	ActivePropInvariable	ActiveGammaShape	hasEqualFreqs	BICEPS	PopSizes.1	PopSizes.2	PopSizes.3	PopSizes.4	PopSizes.5	PopSizes.6	PopSizes.7	GroupSizes.1	GroupSizes.2	GroupSizes.3	GroupSizes.4	GroupSizes.5	GroupSizes.6	GroupSizes.7	BICEPSPopSize
0	-1.9800948239270728E7	-1.9800887885693017E7	-60.35357771016516	-1.9800887885693017E7	11.339240122318252	38.752332428927	1.0	1.0	1.0	1.0	1.0	1.0	1.0	121321	5	1.0	0.1	1	1	0.1	1.0	0	-55.91776990658802	1.7739603356453477	0.844899100037793	0.9841135036482681	1.3772050607937998	4.1289364257491545	1.0358201368728135	0.5063689468620935	7	7	7	6	6	6	6	1.0
1000	-9882857.266596725	-9882825.574229393	-31.69236733267666	-9882825.574229393	11.014894298880005	26.46159267712128	0.025923465299832853	0.14350758502223074	1.7192783042017663	0.1440798133478918	0.9781951009035097	0.30544518493815426	2.7094940115864476	123456	30	0.6620683291250564	0.1	1	1	0.1	0.6620683291250564	0	-24.172101986674207	0.497174488445428	0.28989414235872635	0.5884102962198714	0.6689925290323258	0.9537386150449069	0.6637109471372927	0.6824113963814566	7	7	7	6	6	6	6	0.7891439360320541
2000	-7469386.605011619	-7469308.418593569	-78.18641804995092	-7469308.418593569	12.00371826232723	43.870291616719925	3.7442895891439835E-5	0.058807803407375625	1.8428854912476145	0.2287795949627469	0.8550272229891703	0.30500587580664523	2.7094940115864476	123456	30	0.6620683291250564	0.4369147745277903	1	1	0.4369147745277903	0.6620683291250564	0	-69.01226501918387	0.5968943314956685	1.1729926061254274	1.5927734380889365	1.0013165889260605	1.0072939979208626	2.088633536417469	1.2473280230767316	7	7	7	6	6	6	6	0.9945400790432884
3000	-7461447.109509311	-7461306.491545659	-140.617963652287	-7461306.491545659	14.977769335997927	89.69362249655416	2.401795984088955E-6	0.35045927767530904	1.6157378203722415	1.4632497753329066	0.35045927767530904	0.7568440736113277	1.4632497753329066	123143	15	0.6092874902764527	0.4369147745277903	1	1	0.4369147745277903	0.6092874902764527	0	-134.3003798812354	2.5731063394785347	3.8987968315076134	7.983838514515978	10.705920985586216	7.310820876364922	4.606328974691686	2.4869763476166558	7	7	7	6	6	6	6	0.633150220160897
4000	-7460441.367420692	-7460265.238020678	-176.12940001415632	-7460265.238020678	20.969582424701436	143.41991953295755	9.886623525847382E-7	0.688929999379176	1.4176694492504456	0.6536222181249701	0.688929999379176	1.4176694492504456	1.133178884615787	123124	13	0.5226587088928922	0.4991536624263027	1	1	0.4991536624263027	0.5226587088928922	0	-169.8102050037981	9.302267642924324	19.614011472783975	17.155601907380046	7.239344282753203	6.44708797533263	15.461246519951667	6.323136405298619	7	7	7	6	6	6	6	0.9748298840926013
5000	-7459985.69730389	-7459801.343415894	-184.35388799674362	-7459801.343415894	34.251616790790855	184.83541859893077	1.059411089475611E-6	1.1881783038742875	1.8740634782652716	0.33810687578260634	0.17144460312778814	1.4933988896228525	0.9348078493271946	123456	30	0.5226587088928922	0.7070197761997964	1	1	0.7070197761997964	0.5226587088928922	0	-173.1806284658871	20.164005260948688	19.127591905822065	9.079154803234085	12.790860479127614	12.775134860916015	5.188458411590296	8.408896205137166	7	7	7	6	6	6	6	1.9323642229481177
6000	-7459757.426023949	-7459561.828326892	-195.59769705699458	-7459561.828326892	44.410846212839274	228.4578750699871	7.466005959124497E-7	0.8853050020778181	1.8874876530735236	0.3462363181571044	0.3544645038531071	1.6094441447818146	0.9170623780566329	123456	30	0.31298099952807085	0.7070197761997964	1	1	0.7070197761997964	0.31298099952807085	0	-185.94366999465535	19.667267476888597	10.761151996959528	15.05800461155372	14.173308112210341	16.276687203090525	6.864871943871656	29.986982180804855	7	7	7	6	6	6	6	0.9811309959330572
7000	-7459677.826996217	-7459474.484977101	-203.34201911515098	-7459474.484977101	44.158209952861085	247.95118628709545	6.884918299264423E-7	0.8441118356823185	2.004712430891363	0.3503504110051058	0.3503504110051058	1.6063630757337892	0.8441118356823185	123341	20	0.31298099952807085	0.8425252912511791	1	1	0.8425252912511791	0.31298099952807085	0	-192.24818216600005	22.648194492923302	31.27019743250754	10.342672993036238	23.752776356687523	28.72218525741912	6.347672124407082	15.891685458725227	7	7	7	6	6	6	6	1.596726775271948
8000	-7459646.091265922	-7459433.674775027	-212.4164908959318	-7459433.674775027	54.01712245992503	292.1482648687129	6.102635596171263E-7	0.6537186429387485	2.051572494534971	0.332591991465639	0.332591991465639	1.9758062366562554	0.6537186429387485	123341	20	0.3257352415536163	0.8425252912511791	1	1	0.8425252912511791	0.3257352415536163	0	-198.51178782291964	34.206351396067056	21.84315335134791	29.944544739687313	25.10514264102887	14.46217011484141	16.26340052935724	22.747056095918797	7	7	7	6	6	6	6	4.901904903566885
9000	-7459635.268123246	-7459423.762573958	-211.5055492870638	-7459423.762573958	56.056983088831345	292.90273881306285	6.102635596171263E-7	0.6247897166049836	2.3386160046955258	0.3361215344663645	0.3361215344663645	1.7568778279371784	0.6074733818295845	123345	22	0.17580654155967965	0.8153289870828633	1	1	0.8153289870828633	0.17580654155967965	0	-198.23528123861578	21.225533814747962	43.90062032058797	27.824520579793447	18.8857370411722	8.490798977153124	6.586472505469074	28.2627100399815	7	7	7	6	6	6	6	3.9931900075509854
10000	-7459612.882794643	-7459393.949324824	-218.93346981886629	-7459393.949324824	59.40988458259316	325.2033281078526	5.556615274854095E-7	0.6247897166049836	2.279907099681122	0.4071514008570061	0.23471940549262174	1.7719885420017154	0.6814438353625519	123456	30	0.08970372251039159	0.7957621302598274	1	1	0.7957621302598274	0.08970372251039159	0	-206.53414812158394	56.32008531864615	27.170776368924276	73.76213446844885	30.97320343581575	35.562719042816155	6.2588345971969686	26.12815105442171	7	7	7	6	6	6	6	2.929148559761332
11000	-7459562.59705322	-7459347.962733461	-214.6343197592817	-7459347.962733461	60.88854222494765	313.6882498639774	5.597870247411585E-7	0.603703256362211	2.464961186702853	0.3476712178934414	0.25925653532774506	1.7207045473515392	0.603703256362211	123451	27	0.06340307648215825	0.7957621302598274	1	1	0.7957621302598274	0.06340307648215825	0	-201.24068830269454	44.24016348075309	23.20518663563719	41.06970185525812	19.7712487847191	7.433635917546662	8.828650709416847	18.468004440549684	7	7	7	6	6	6	6	5.308896612607847
12000	-7459552.917949943	-7459341.34921428	-211.56873566294013	-7459341.34921428	56.945246354988875	302.39349281889605	5.983821939085573E-7	0.6882895020192545	2.4434906056226886	0.28374965772164096	0.2315796544533599	1.6646010781638017	0.6882895020192545	123451	27	0.03152972250460501	0.7957621302598274	1	1	0.7957621302598274	0.03152972250460501	0	-198.56174131694516	39.75055284840768	14.838467023747638	35.29135986841613	25.21942841874601	7.319359969613126	18.443741131633026	24.470041969852993	7	7	7	6	6	6	6	4.796584931199632
13000	-7459559.27398707	-7459342.662348572	-216.61163849767314	-7459342.662348572	62.00151155576151	330.19736653448996	5.358812143906818E-7	0.6882895020192545	2.226359927667786	0.4623223543252374	0.2701376358046661	1.6646010781638017	0.6882895020192545	123451	27	0.04761121516734507	0.4705420735801342	1	1	0.4705420735801342	0.04761121516734507	0	-205.54856745412346	33.791704221606196	22.35814685659847	58.54234217877993	18.79013342604692	16.587915296088312	14.27175982920321	43.53115735012641	7	7	7	6	6	6	6	6.096573954355862
14000	-7459556.642720804	-7459342.1759041315	-214.4668166722268	-7459342.1759041315	62.49335435636446	330.46817490357324	5.124314679584097E-7	0.6238756622252447	2.489588464007569	0.4623223543252374	0.2403597918416675	1.559978065375037	0.6238756622252447	123451	27	0.07317334174505893	0.3031452664986913	1	1	0.3031452664986913	0.07317334174505893	0	-205.3651239132559	24.389447991415317	15.467434016336888	79.68199708855641	26.294887112984853	22.62370044275845	9.609034351760195	23.09510082999528	7	7	7	6	6	6	6	4.252174205204416
15000	-7459540.484573036	-7459328.340611247	-212.14396178944293	-7459328.340611247	60.71324776976219	317.72023461043017	5.124314679584097E-7	0.6755849270219395	2.3568078118200755	0.3589038247318478	0.21870613748809062	1.714412371916108	0.6755849270219395	123451	27	0.07090643830335895	0.20711623679366217	1	0	0.0	0.07090643830335895	0	-204.17817259933793	21.10275097046023	21.452001167607854	41.6994266138598	34.00612028555026	20.48410168648391	16.98806829541487	20.01893873517947	7	7	7	6	6	6	6	2.550449919034925
16000	-7459545.078903033	-7459323.673749763	-221.40515327061735	-7459323.673749763	68.23274373066373	358.6848732909658	4.580517638818264E-7	0.773459819930392	2.3568078118200755	0.3910549671738157	0.21870613748809062	1.714412371916108	0.545558891671519	123456	30	0.045042131850878325	0.10800269092381265	1	1	0.10800269092381265	0.045042131850878325	0	-206.83843845031146	25.964362678414965	68.3313141414874	84.70789850749394	25.62509052728452	32.92768762468455	9.933427355503143	20.0675461423235	7	7	7	6	6	6	6	19.369590096481517
17000	-7459544.57491489	-7459320.096721369	-224.478193521464	-7459320.096721369	77.64943297928946	391.61299239202276	4.374648572182194E-7	0.668828313358702	2.3568078118200755	0.3910549671738157	0.21870613748809062	1.695774456800615	0.668828313358702	123451	27	0.06500730255862835	0.06366098713764216	1	0	0.0	0.06500730255862835	0	-213.7106132513678	32.38481398101288	46.57179742557467	44.04067406040562	57.15994682405062	12.132371636951683	24.37575070317242	39.89643521944123	7	7	7	6	6	6	6	6.642083506528656
