#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="BICEPS.t:STEC_Clade1" linkedMean="true" ploidy="1.0" spec="biceps.BICEPS">
#            <parameter id="RealParameter.6" lower="0.0" name="populationShape" spec="beast.base.inference.parameter.RealParameter" upper="0.0">3.0</parameter>
#            <parameter id="BICEPSPopSize.t:STEC_Clade1" lower="0.0" name="populationMean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <groupSizes dimension="8" estimate="false" id="BICEPSGroupSizes.t:STEC_Clade1" spec="beast.base.inference.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BICEPSTreeIntervals.t:STEC_Clade1" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:STEC_Clade1" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:STEC_Clade1" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="109ST-1|AY2a|NI|bovine|1/09/2008=1/09/2008,13ER-3795|AY2a|NI|bovine|22/05/2013=22/05/2013,14ER-2816|AY2a|SI|bovine|12/09/2014=12/09/2014,14ER-98|AY2a|NI|bovine|19/12/2013=19/12/2013,E200a|AWY2a|NI|bovine|13/09/2010=13/09/2010,e82b|AY2a|NI|bovine|20/04/2010=20/04/2010,ER-06-287|AY2a|NI|human|20/01/2006=20/01/2006,ERL-04-3576|AY2a|SI|human|11/11/2004=11/11/2004,ERL-04-3852-S4|AY2a|NI|human|14/12/2004=14/12/2004,ERL-04-3852-S5|AY2a|SI|human|25/02/2005=25/02/2005,ERL-05-1169|AY2a|NI|human|6/04/2005=6/04/2005,ERL-06-3358|AY2a|SI|human|5/09/2006=5/09/2006,ERL-07-2865|AY2a|NI|human|14/09/2007=14/09/2007,ERL-07-811|AY2a|SI|human|13/03/2007=13/03/2007,ERL-08-2970|AY2a|SI|human|26/08/2008=26/08/2008,ERL-08-3450|AY2a|NI|human|19/09/2008=19/09/2008,ERL-12-1148|AY2a|SI|human|31/03/2012=31/03/2012,ERL04-2361|AY2a|NI|bovine|14/08/2004=14/08/2004,ERL04-2635|AWY2a|NI|bovine|30/08/2004=30/08/2004,ERL04-3180|AY2a|SI|bovine|8/10/2004=8/10/2004,ERL05-3130|AY2a|SI|bovine|6/09/2005=6/09/2005,ERL05-3260|AY2a|NI|bovine|10/08/2005=10/08/2005,ERL06-2494|AY2a|NI|bovine|25/07/2005=25/07/2005,ERL06-3112|AY2a|NI|bovine|21/08/2006=21/08/2006,ERL06-4361|A2a|NI|human|28/11/2006=28/11/2006,ERL07-1133|AY2a||bovine|8/04/2007=8/04/2007,ERL07-2285|AY2a||bovine|1/08/2007=1/08/2007,ERL07-2341|AY2a|NI|bovine|6/08/2007=6/08/2007,ERL08-1743|AY2a|NI|human|8/05/2008=8/05/2008,ERL08-1889|AY2a||bovine|17/05/2008=17/05/2008,ERL08-3922|AY2a|SI|bovine|22/10/2008=22/10/2008,ERL09-2594|AY2a|NI|human|25/08/2009=25/08/2009,ERL09-2641|AY2a|SI|bovine|29/08/2009=29/08/2009,ERL093611|AY2a|SI|human|2/11/2009=2/11/2009,ERL10-552|AY2a|NI|human|9/02/2010=9/02/2010,ERL10-835|AY2a|SI|bovine|5/03/2010=5/03/2010,ERL102582|AY2a|SI|human|20/08/2010=20/08/2010,ERL11-2886|AY2a|SI|bovine|1/09/2011=1/09/2011,ERL11105|AY2a|NI|human|11/01/2011=11/01/2011,ERL111514|AY2a|SI|human|4/05/2011=4/05/2011,ERL121344|AY2a|NI|human|26/04/2012=26/04/2012,H12ESR-3802|AY2a|SI|bovine|14/10/2012=14/10/2012,H12ESR-3850|AY2a|NI|bovine|8/10/2012=8/10/2012,H13ER-5955|AY2a|NI|human|5/10/2013=5/10/2013,H13ER-6657|AY2a|SI|human|27/11/2013=27/11/2013,H14ER-1346|AY2a|NI|human|28/04/2014=28/04/2014,H14ER-519|AY2a|SI|human|14/02/2014=14/02/2014,h160a|AY2a|NI|bovine|24/03/2011=24/03/2011,H81a|AY2a|NI|bovine|10/08/2009=10/08/2009,Reference|AY2a|SI|bovine|12/09/2006=12/09/2006">
#                        <taxa id="TaxonSet.STEC_Clade1" spec="beast.base.evolution.alignment.TaxonSet">
#                            <alignment filter="-" id="STEC_Clade1" spec="beast.base.evolution.alignment.FilteredAlignment">
#                                <constantSiteWeights dimension="4" id="IntegerParameter" lower="0" spec="beast.base.inference.parameter.IntegerParameter" upper="0">1334081 1350187 1350187 1334081</constantSiteWeights>
#                            </alignment>
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.STEC_Clade1"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="BICEPSPopSizePrior.t:STEC_Clade1" name="distribution" x="@BICEPSPopSize.t:STEC_Clade1">
#            <LogNormal id="LogNormalDistributionModel.1" meanInRealSpace="true" name="distr">
#                <M id="Function$Constant.5" spec="beast.base.core.Function$Constant" value="1.0"/>
#                <S id="Function$Constant.6" spec="beast.base.core.Function$Constant" value="1.0"/>
#            </LogNormal>
#        </prior>
#        <distribution id="BMT_PropInvariablePrior.s:STEC_Clade1" spec="bmodeltest.math.distributions.BMTPrior">
#            <count id="hasInvariableSites.s:STEC_Clade1" spec="beast.base.inference.parameter.IntegerParameter">1</count>
#            <parameter id="BMT_ProportionInvariable.s:STEC_Clade1" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.1</parameter>
#            <Beta id="Beta.0" name="distr">
#                <alpha id="Function$Constant.0" spec="beast.base.core.Function$Constant" value="1.0"/>
#                <beta id="Function$Constant.1" spec="beast.base.core.Function$Constant" value="4.0"/>
#            </Beta>
#        </distribution>
#        <distribution id="BMT_RatesPrior.s:STEC_Clade1" spec="bmodeltest.math.distributions.NucleotideRevJumpSubstModelRatePrior">
#            <modelIndicator id="BMT_ModelIndicator.s:STEC_Clade1" lower="0" spec="beast.base.inference.parameter.IntegerParameter" upper="5">5</modelIndicator>
#            <substModel id="RevJump.s:STEC_Clade1" modelIndicator="@BMT_ModelIndicator.s:STEC_Clade1" spec="bmodeltest.evolution.substitutionmodel.NucleotideRevJumpSubstModel">
#                <parameter dimension="6" id="BMT_Rates.s:STEC_Clade1" lower="0.01" name="rates" spec="beast.base.inference.parameter.RealParameter" upper="100.0">1.0</parameter>
#                <frequencies data="@STEC_Clade1" id="BMTfreqs.s:STEC_Clade1" spec="bmodeltest.evolution.substitutionmodel.ModelFrequencies">
#                    <hasEqualFreqs id="hasEqualFreqs.s:STEC_Clade1" spec="beast.base.inference.parameter.BooleanParameter">false</hasEqualFreqs>
#                </frequencies>
#            </substModel>
#            <parameter idref="BMT_Rates.s:STEC_Clade1" name="x"/>
#            <Exponential id="BMT_RatesPrior.s:STEC_Clade1x" name="distr"/>
#        </distribution>
#        <distribution id="BMT_GammaShapePrior.s:STEC_Clade1" spec="bmodeltest.math.distributions.BMTPrior">
#            <count id="hasGammaRates.s:STEC_Clade1" spec="beast.base.inference.parameter.IntegerParameter">1</count>
#            <parameter id="BMT_gammaShape.s:STEC_Clade1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="mean" spec="beast.base.inference.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </Exponential>
#        </distribution>
#        <prior id="ORCRatePriorDistribution.c:STEC_Clade1" name="distribution">
#            <parameter dimension="98" id="ORCRates.c:STEC_Clade1" lower="1.0E-100" name="x" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" meanInRealSpace="true" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter id="ORCsigma.c:STEC_Clade1" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter">0.2</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ORCsigmaPrior.c:STEC_Clade1" name="distribution" x="@ORCsigma.c:STEC_Clade1">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha" spec="beast.base.inference.parameter.RealParameter">5.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ORCucldMeanPrior.c:STEC_Clade1" name="distribution">
#            <parameter id="ORCucldMean.c:STEC_Clade1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <alpha id="Function$Constant.3" spec="beast.base.core.Function$Constant" value="0.1"/>
#                <beta id="Function$Constant.4" spec="beast.base.core.Function$Constant" value="100.0"/>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@STEC_Clade1" id="treeLikelihood.STEC_Clade1" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:STEC_Clade1">
#            <siteModel gammaCategoryCount="4" hasGammaRates="@hasGammaRates.s:STEC_Clade1" hasInvariantSites="@hasInvariableSites.s:STEC_Clade1" id="BEASTModelTest.s:STEC_Clade1" proportionInvariant="@BMT_ProportionInvariable.s:STEC_Clade1" shape="@BMT_gammaShape.s:STEC_Clade1" spec="bmodeltest.evolution.sitemodel.BEASTModelTestSiteModel" substModel="@RevJump.s:STEC_Clade1">
#                <parameter estimate="false" id="BMT_mutationRate.s:STEC_Clade1" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </siteModel>
#            <branchRateModel clock.rate="@ORCucldMean.c:STEC_Clade1" id="OptimisedRelaxedClock.c:STEC_Clade1" rates="@ORCRates.c:STEC_Clade1" spec="beast.base.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:STEC_Clade1">
#                <LogNormal S="@ORCsigma.c:STEC_Clade1" id="ORCLogNormalDistributionModel.c:STEC_Clade1" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                </LogNormal>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#    <distribution data="@STEC_Clade1" id="ConsensusWeights" spec="targetedbeast.edgeweights.ConsensusWeights" tree="@Tree.t:STEC_Clade1"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.STEC_Clade1	Tree.height	Tree.treeLength	rateAC	rateAG	rateAT	rateCG	rateCT	rateGT	substmodel	BMT_ModelIndicator	BMT_gammaShape	BMT_ProportionInvariable	hasGammaRates	hasInvariableSites	ActivePropInvariable	ActiveGammaShape	hasEqualFreqs	ORCucldMean	ORCsigma	ORCRatesStat.mean	ORCRatesStat.variance	ORCRatesStat.coefficientOfVariation	BICEPS	PopSizes.1	PopSizes.2	PopSizes.3	PopSizes.4	PopSizes.5	PopSizes.6	PopSizes.7	PopSizes.8	GroupSizes.1	GroupSizes.2	GroupSizes.3	GroupSizes.4	GroupSizes.5	GroupSizes.6	GroupSizes.7	GroupSizes.8	BICEPSPopSize
0	-1.926031791604305E7	-1.9259839615213543E7	-478.3008295080928	-1.9259839615213543E7	12.299530720736914	37.52303355745779	1.0	1.0	1.0	1.0	1.0	1.0	121321	5	1.0	0.1	1	1	0.1	1.0	0	1.0	0.2	0.5	0.0	0.0	-53.02128057886813	0.9056673987269166	0.9631225631992332	0.6313652917010812	1.090234959908667	0.6040049562900688	2.394724509887466	1.2899145153582858	0.8565893641850345	7	6	6	6	6	6	6	6	1.0
1000	-8820147.351177242	-8820128.674264725	-18.67691251663649	-8820128.674264725	11.855045400849603	29.234853641935004	1.2511367228480264	0.05375810800149927	1.5139833523775437	1.0	2.0904209046868045	0.09070091208612624	123456	30	0.4602395434901763	0.5186674642019276	1	1	0.5186674642019276	0.4602395434901763	1	0.22405868725576591	1.2880058594453514	0.02073343496531763	8.330223664256434E-4	1.2167261276428032	-25.907018462735056	0.5527269125724715	0.6375801278079585	0.2548742105742479	0.24171847295005092	0.6974356152837274	0.5190735768102246	0.4621389535835261	0.4313074226145643	7	6	6	6	6	6	6	6	1.1648417049289814
2000	-7466461.627381153	-7467070.398461475	608.7710803217619	-7467070.398461475	12.223626588593316	54.01515343118277	0.6709188174670763	0.05950354783661342	1.5139833523775437	0.9942545601648859	2.0904209046868045	0.6709188174670763	123451	27	0.21028332905158442	0.8728720225771568	1	1	0.8728720225771568	0.21028332905158442	0	0.17112217443804345	4.078176521642297	5.383763883253402E-6	5.9272744094250255E-9	4.26244151149397	-94.41100800584	1.1198685168199067	1.7994439512293465	1.998000164417523	4.688210248512206	5.59800908778083	5.286982487826108	1.4551418288278406	1.7936119831882489	7	6	6	6	6	6	6	6	0.9905211811633837
3000	-7464241.18031097	-7464865.425893095	624.2455821255006	-7464865.425893095	12.230567282140475	62.38991763797035	0.8360072377990146	1.3279855244019707	0.8360072377990146	0.8360072377990146	1.3279855244019707	0.8360072377990146	121121	1	0.14959419321215903	0.8728720225771568	1	1	0.8728720225771568	0.14959419321215903	0	0.13563553503258677	4.228165112885468	3.7853559262377293E-6	1.2595467102042694E-10	1.677277716897436	-109.65078685793583	2.5617776013049087	3.14666924048586	2.267659409704465	1.5037972436245939	8.87532743893984	1.82248193842572	2.8696572660721005	1.383836107925832	7	6	6	6	6	6	6	6	1.6211544950216623
4000	-7462685.115707563	-7463286.334809005	601.219101442302	-7463286.334809005	14.952366354524353	102.00831965111689	0.6629495664772076	1.5603347215842072	0.6629495664772076	0.6629495664772076	1.5603347215842072	0.8904818573999622	121123	2	0.07827513360871964	0.9825882492560523	1	1	0.9825882492560523	0.07827513360871964	0	0.09735093105773274	4.566185231853206	2.56825226103637E-6	2.8574007461252635E-11	1.3673526800217985	-157.73486285638674	3.3232413311213396	7.694714798737765	6.869092620547141	8.468193129233837	18.152653696174237	6.3574400208269	9.12328541059931	2.676625247576048	7	6	6	6	6	6	6	6	0.7390072978496934
5000	-7462302.8580638785	-7462907.107835438	604.2497715594805	-7462907.107835438	14.347390629428386	104.07858003589027	0.6557931902325073	1.5697181316367872	0.6557931902325073	0.6557931902325073	1.5697181316367872	0.8931841660289028	121123	2	0.07575967872330513	0.9825882492560523	1	1	0.9825882492560523	0.07575967872330513	0	0.08564225541546593	4.455391419579138	2.2344295552729757E-6	2.924953068560609E-11	1.5094304740474556	-157.66448318736266	5.967544914539936	6.471436586704921	6.315777802949387	9.309920139144493	6.502240855462684	4.056466896184917	6.447229159977106	5.652729253497162	7	6	6	6	6	6	6	6	1.1397366299779448
6000	-7462116.5425370755	-7462717.938394575	601.395857499858	-7462717.938394575	13.324004277283922	112.05756632305237	0.5943049882778962	1.6302297382778705	0.5943049882778962	0.5943049882778962	1.6302297382778705	0.9566255586105692	121123	2	0.0263570435214197	0.9825882492560523	1	1	0.9825882492560523	0.0263570435214197	0	0.07517644475477085	4.307058922328562	1.867783972759878E-6	3.5617717920886984E-10	3.7942934002562163	-167.83747418353457	9.53839901614709	29.936339287188975	11.431052480472271	18.90859642195778	15.61602399238049	6.530906066936881	4.866330466846166	2.1539394825286293	7	6	6	6	6	6	6	6	1.0920396729764243
7000	-7461974.067625695	-7462584.323596462	610.2559707664775	-7462584.323596462	12.9975204872812	120.17340371113407	1.0292532550414477	1.7868445520865361	0.18425177914043406	0.18425177914043406	1.7868445520865361	1.0285540825046111	123324	19	0.045717845116098416	0.9825882492560523	1	1	0.9825882492560523	0.045717845116098416	0	0.07517644475477085	4.4481456720062305	1.7414495614840644E-6	3.4906459226311674E-10	4.07351937158995	-170.38078790511432	8.183733883646129	11.390587844281463	11.154370921729194	54.196369429156235	14.957909346770279	6.997938083540291	8.46287299587152	2.2758795663455524	7	6	6	6	6	6	6	6	2.2222575328642273
8000	-7461709.942638037	-7462321.193848111	611.2512100735589	-7462321.193848111	13.331890737712909	125.83474279675917	0.9396352584555282	1.813104954822812	0.2472597867216595	0.2472597867216595	1.813104954822812	0.9396352584555282	123321	17	0.051021719112053	0.9825882492560523	1	1	0.9825882492560523	0.051021719112053	0	0.07409933157602606	4.447878500908744	1.6376712870818843E-6	3.360121228788646E-10	3.6549683148670504	-174.78578656996294	4.848140896134134	11.001615918577325	13.560679958354712	42.40066195724274	18.019237778837784	12.881645474757047	22.144781776102683	4.138090129285222	7	6	6	6	6	6	6	6	1.8720891686794736
9000	-7461538.951080451	-7462150.666786414	611.7157059630606	-7462150.666786414	13.335346575970707	128.2887509391485	0.7457190565563696	1.9911750225096954	0.4368603503859728	0.08935149148189692	1.9911750225096954	0.7457190565563696	123421	23	0.0554127322216276	0.9825882492560523	1	1	0.9825882492560523	0.0554127322216276	0	0.07409933157602606	4.360891040700038	1.6080368935922213E-6	1.14036008207782E-10	2.862058180172125	-178.9290958679565	4.574005191869997	12.55677581748824	11.630279260596554	43.60527390396085	9.246077823903686	16.664896807647565	7.254402357082675	3.0120621888356705	7	6	6	6	6	6	6	6	0.783278854064071
10000	-7461453.356585784	-7462081.364470966	628.0078851823955	-7462081.364470966	14.794347007396276	131.41625861272198	0.715153040995913	2.2267907597229626	0.33874151044738837	0.12964658216736924	1.8745150656704532	0.715153040995913	123451	27	0.08074687818327132	0.9825882492560523	1	1	0.9825882492560523	0.08074687818327132	0	0.07409933157602606	4.530239788708886	1.5562885782668244E-6	1.6343252630454896E-11	1.5315470282917867	-177.53226952857136	4.01223989552131	5.858252301725801	19.29734463103901	53.05715812561329	19.22382558317545	15.469555424294786	7.154373746190725	3.5487866185927763	7	6	6	6	6	6	6	6	1.5175934965710165
11000	-7461445.379762596	-7462071.218213841	625.8384512452631	-7462071.218213841	15.924488156743244	131.09794980304653	0.6597009757031862	2.3376948903084163	0.33874151044738837	0.12964658216736924	1.8745150656704532	0.6597009757031862	123451	27	0.05736267769985704	0.9825882492560523	1	1	0.9825882492560523	0.05736267769985704	0	0.07409933157602606	4.470104499336303	1.537813298578932E-6	3.4159043228565385E-10	4.289371227422147	-173.67754422063953	7.890235090896295	22.21218851026333	19.827988792735525	30.588111461888897	23.8648645623208	6.234087713339993	6.700559198380973	3.3722435371391155	7	6	6	6	6	6	6	6	3.6234959873002324
12000	-7461401.434546358	-7462026.169542277	624.7349959195373	-7462026.169542277	15.674412726011434	130.88809485422308	0.6676250408481867	2.348060228623565	0.3714875892566165	0.12964658216736924	1.8155555182560754	0.6676250408481867	123451	27	0.04642878645831798	0.9825882492560523	1	1	0.9825882492560523	0.04642878645831798	0	0.08016643861977793	4.35571456608534	1.554190164619139E-6	5.941915074962851E-11	2.1750579197316275	-171.05690201802867	9.284893255707246	11.17653022726047	6.782750114509588	23.31071787426965	50.18832790724041	12.993002175173302	6.1234064380399085	3.460599401934068	7	6	6	6	6	6	6	6	8.249717397746773
13000	-7461319.466901271	-7461946.533916482	627.0670152113739	-7461946.533916482	14.979871266270466	142.18420250499548	0.7109097582599836	2.348060228623565	0.30620709500301235	0.12964658216736924	1.8808360125096795	0.6243403234363899	123456	30	0.06903745615314871	0.9825882492560523	1	1	0.9825882492560523	0.06903745615314871	0	0.07340260545754469	4.4851807713994205	1.428084527726741E-6	4.69871982897473E-11	2.270824777604076	-180.4066899795302	17.323382219130565	12.848374275705282	8.919662041769461	23.20501365409619	28.021320278903776	9.942674710858306	3.5822991520295293	2.8729509447425627	7	6	6	6	6	6	6	6	6.076623862894206
14000	-7461218.749173591	-7461837.340973924	618.5918003334374	-7461837.340973924	15.646410533941545	154.1272741704952	0.7109097582599836	2.299360719222876	0.39948054864587207	0.15632643661190493	1.8095822138229731	0.6243403234363899	123456	30	0.07012046624525402	0.9825882492560523	1	1	0.9825882492560523	0.07012046624525402	0	0.067577394594444	4.6207381057828165	1.296255894033571E-6	4.9347796703638865E-11	2.5153416926624277	-187.93405310841425	12.038405168655824	25.020337273516045	12.376836210108205	27.785345782146265	23.525017678064618	15.469445169498044	8.431766047075296	3.519370976712733	7	6	6	6	6	6	6	6	9.867581490239896
15000	-7461216.951866528	-7461830.438864373	613.4869978443877	-7461830.438864373	14.294957608378752	156.4509545935713	0.7109097582599836	2.4644240730245497	0.39948054864587207	0.15632643661190493	1.6445188600212994	0.6243403234363899	123456	30	0.04284136066707356	0.9825882492560523	1	1	0.9825882492560523	0.04284136066707356	0	0.05916470020318017	4.526054639812034	1.1632506198577664E-6	6.07664336656006E-11	2.884319062186401	-194.70214773387886	20.622641739496533	34.04716741816992	20.802636515312667	21.630072520306786	20.557745709632435	12.387193277644087	8.820961348990288	3.1057877499284996	7	6	6	6	6	6	6	6	2.7470196478231363
16000	-7461217.661554291	-7461830.513766472	612.852212181732	-7461830.513766472	14.390794801741638	143.7456598528901	0.6597745172615754	2.3164213374143205	0.4151815958190948	0.15632643661190493	1.7925215956315288	0.6597745172615754	123451	27	0.02103447862258067	0.9825882492560523	1	1	0.9825882492560523	0.02103447862258067	0	0.07107389582552084	4.526054639812034	1.4205377436196025E-6	4.692520522023916E-10	4.0200957469182335	-188.51062264541568	18.3111323439494	12.356710677385038	30.650497824473916	25.03301497707178	20.26359177967682	9.006517288521	21.209517814178064	7.290887248410276	7	6	6	6	6	6	6	6	1.7314996462187395
17000	-7461191.860703235	-7461802.662386581	610.8016833466744	-7461802.662386581	15.367234866466504	148.0351864166764	0.6597745172615754	2.3119412227730867	0.4923621291912631	0.11345363015182566	1.7626939833606732	0.6597745172615754	123451	27	0.02103447862258067	0.9825882492560523	1	1	0.9825882492560523	0.02103447862258067	0	0.06728266809368656	4.6201268314110795	1.3176322118940828E-6	3.033023666356704E-11	1.879348790570478	-184.3668340865436	10.215553146446856	13.582720901569742	15.703271647663362	23.74459117574719	15.973322203569477	32.8595777333501	11.326037227566582	2.3332008219660563	7	6	6	6	6	6	6	6	3.751820470710766
18000	-7461197.658524039	-7461798.033994708	600.3754706692794	-7461798.033994708	14.286512211993902	153.93983226931945	0.6597745172615754	2.495427702831395	0.3183135257565576	0.1040157535282229	1.7626939833606732	0.6597745172615754	123451	27	0.026498198119854415	0.9825882492560523	1	1	0.9825882492560523	0.026498198119854415	0	0.05994492077226278	4.286055617563725	1.2577039030468495E-6	3.739250936752483E-11	2.2549560658054055	-187.1858363607861	28.027769509357686	32.266684512702874	9.800697898097775	38.71093839306243	49.68471180396017	15.428584343618883	7.931781395540745	1.591897746978917	7	6	6	6	6	6	6	6	12.860568016404306
